subject_id	subject_name	class_id	class_name	sample_id	sample_name
0	YvesMontand	54	AGE54	6897	6896_YvesMontand_54_m
0	YvesMontand	53	AGE53	6896	6895_YvesMontand_53_m
0	YvesMontand	36	AGE36	6882	6881_YvesMontand_36_m
0	YvesMontand	49	AGE49	6892	6891_YvesMontand_49_m
0	YvesMontand	51	AGE51	6894	6893_YvesMontand_51_m
0	YvesMontand	41	AGE41	6886	6885_YvesMontand_41_m
0	YvesMontand	25	AGE25	6875	6874_YvesMontand_25_m
0	YvesMontand	61	AGE61	6903	6902_YvesMontand_61_m
0	YvesMontand	39	AGE39	6885	6884_YvesMontand_39_m
0	YvesMontand	42	AGE42	6887	6886_YvesMontand_42_m
0	YvesMontand	52	AGE52	6895	6894_YvesMontand_52_m
0	YvesMontand	37	AGE37	6883	6882_YvesMontand_37_m
0	YvesMontand	60	AGE60	6902	6901_YvesMontand_60_m
0	YvesMontand	67	AGE67	6909	6908_YvesMontand_67_m
0	YvesMontand	70	AGE70	6911	6910_YvesMontand_70_m
0	YvesMontand	59	AGE59	6901	6900_YvesMontand_59_m
0	YvesMontand	36	AGE36	6881	6880_YvesMontand_36_m
0	YvesMontand	19	AGE19	6873	6872_YvesMontand_19_m
0	YvesMontand	30	AGE30	6877	6876_YvesMontand_30_m
0	YvesMontand	23	AGE23	6874	6873_YvesMontand_23_m
0	YvesMontand	29	AGE29	6876	6875_YvesMontand_29_m
0	YvesMontand	62	AGE62	6905	6904_YvesMontand_62_m
0	YvesMontand	32	AGE32	6878	6877_YvesMontand_32_m
0	YvesMontand	54	AGE54	6888	6887_YvesMontand_54_m
0	YvesMontand	62	AGE62	6904	6903_YvesMontand_62_m
0	YvesMontand	69	AGE69	6910	6909_YvesMontand_69_m
0	YvesMontand	64	AGE64	6906	6905_YvesMontand_64_m
0	YvesMontand	59	AGE59	6900	6899_YvesMontand_59_m
0	YvesMontand	65	AGE65	6908	6907_YvesMontand_65_m
0	YvesMontand	58	AGE58	6899	6898_YvesMontand_58_m
0	YvesMontand	50	AGE50	6893	6892_YvesMontand_50_m
0	YvesMontand	45	AGE45	6889	6888_YvesMontand_45_m
0	YvesMontand	34	AGE34	6880	6879_YvesMontand_34_m
0	YvesMontand	38	AGE38	6884	6883_YvesMontand_38_m
0	YvesMontand	64	AGE64	6907	6906_YvesMontand_64_m
0	YvesMontand	58	AGE58	6898	6897_YvesMontand_58_m
0	YvesMontand	33	AGE33	6879	6878_YvesMontand_33_m
0	YvesMontand	48	AGE48	6891	6890_YvesMontand_48_m
0	YvesMontand	47	AGE47	6890	6889_YvesMontand_47_m
1	HerbertLom	53	AGE53	5860	5859_HerbertLom_53_m
1	HerbertLom	93	AGE93	5882	5881_HerbertLom_93_m
1	HerbertLom	95	AGE95	5884	5883_HerbertLom_95_m
1	HerbertLom	61	AGE61	5865	5864_HerbertLom_61_m
1	HerbertLom	81	AGE81	5877	5876_HerbertLom_81_m
1	HerbertLom	58	AGE58	5864	5863_HerbertLom_58_m
1	HerbertLom	63	AGE63	5867	5866_HerbertLom_63_m
1	HerbertLom	83	AGE83	5878	5877_HerbertLom_83_m
1	HerbertLom	38	AGE38	5849	5848_HerbertLom_38_m
1	HerbertLom	68	AGE68	5872	5871_HerbertLom_68_m
1	HerbertLom	32	AGE32	5844	5843_HerbertLom_32_m
1	HerbertLom	87	AGE87	5880	5879_HerbertLom_87_m
1	HerbertLom	91	AGE91	5881	5880_HerbertLom_91_m
1	HerbertLom	44	AGE44	5854	5853_HerbertLom_44_m
1	HerbertLom	64	AGE64	5868	5867_HerbertLom_64_m
1	HerbertLom	67	AGE67	5871	5870_HerbertLom_67_m
1	HerbertLom	37	AGE37	5848	5847_HerbertLom_37_m
1	HerbertLom	54	AGE54	5861	5860_HerbertLom_54_m
1	HerbertLom	55	AGE55	5862	5861_HerbertLom_55_m
1	HerbertLom	57	AGE57	5863	5862_HerbertLom_57_m
1	HerbertLom	42	AGE42	5852	5851_HerbertLom_42_m
1	HerbertLom	76	AGE76	5875	5874_HerbertLom_76_m
1	HerbertLom	65	AGE65	5869	5868_HerbertLom_65_m
1	HerbertLom	36	AGE36	5847	5846_HerbertLom_36_m
1	HerbertLom	35	AGE35	5846	5845_HerbertLom_35_m
1	HerbertLom	33	AGE33	5845	5844_HerbertLom_33_m
1	HerbertLom	41	AGE41	5851	5850_HerbertLom_41_m
1	HerbertLom	43	AGE43	5853	5852_HerbertLom_43_m
1	HerbertLom	72	AGE72	5873	5872_HerbertLom_72_m
1	HerbertLom	29	AGE29	5843	5842_HerbertLom_29_m
1	HerbertLom	40	AGE40	5850	5849_HerbertLom_40_m
1	HerbertLom	66	AGE66	5870	5869_HerbertLom_66_m
1	HerbertLom	52	AGE52	5859	5858_HerbertLom_52_m
1	HerbertLom	78	AGE78	5876	5875_HerbertLom_78_m
1	HerbertLom	28	AGE28	5842	5841_HerbertLom_28_m
1	HerbertLom	23	AGE23	5840	5839_HerbertLom_23_m
1	HerbertLom	85	AGE85	5879	5878_HerbertLom_85_m
1	HerbertLom	62	AGE62	5866	5865_HerbertLom_62_m
1	HerbertLom	74	AGE74	5874	5873_HerbertLom_74_m
1	HerbertLom	49	AGE49	5857	5856_HerbertLom_49_m
1	HerbertLom	94	AGE94	5883	5882_HerbertLom_94_m
1	HerbertLom	51	AGE51	5858	5857_HerbertLom_51_m
1	HerbertLom	46	AGE46	5856	5855_HerbertLom_46_m
1	HerbertLom	45	AGE45	5855	5854_HerbertLom_45_m
1	HerbertLom	26	AGE26	5841	5840_HerbertLom_26_m
2	RoyRogers	34	AGE34	5698	5697_RoyRogers_34_m
2	RoyRogers	43	AGE43	5705	5704_RoyRogers_43_m
2	RoyRogers	49	AGE49	5711	5710_RoyRogers_49_m
2	RoyRogers	47	AGE47	5709	5708_RoyRogers_47_m
2	RoyRogers	35	AGE35	5699	5698_RoyRogers_35_m
2	RoyRogers	75	AGE75	5720	5719_RoyRogers_75_m
2	RoyRogers	24	AGE24	5690	5689_RoyRogers_24_m
2	RoyRogers	64	AGE64	5715	5714_RoyRogers_64_m
2	RoyRogers	72	AGE72	5719	5718_RoyRogers_72_m
2	RoyRogers	50	AGE50	5712	5711_RoyRogers_50_m
2	RoyRogers	30	AGE30	5695	5694_RoyRogers_30_m
2	RoyRogers	37	AGE37	5701	5700_RoyRogers_37_m
2	RoyRogers	78	AGE78	5722	5721_RoyRogers_78_m
2	RoyRogers	36	AGE36	5700	5699_RoyRogers_36_m
2	RoyRogers	39	AGE39	5703	5702_RoyRogers_39_m
2	RoyRogers	27	AGE27	5692	5691_RoyRogers_27_m
2	RoyRogers	67	AGE67	5717	5716_RoyRogers_67_m
2	RoyRogers	44	AGE44	5706	5705_RoyRogers_44_m
2	RoyRogers	40	AGE40	5704	5703_RoyRogers_40_m
2	RoyRogers	31	AGE31	5696	5695_RoyRogers_31_m
