subject_id	subject_name	class_id	class_name	sample_id	sample_name
472	StephenHawking	1	AGE1	1001	1000_StephenHawking_1_m
387	MartinLutherKing	3	AGE3	15959	15958_MartinLutherKing_3_m
395	michaeljackson	3	AGE3	256	255_michaeljackson_3_m
114	akistsoxatzopoulos	3	AGE3	784	783_akistsoxatzopoulos_3_m
483	Bono	3	AGE3	1525	1524_Bono_3_m
561	QueenElizabet	3	AGE3	582	581_QueenElizabet_3_f
561	QueenElizabet	3	AGE3	580	579_QueenElizabet_3_f
472	StephenHawking	3	AGE3	1002	1001_StephenHawking_3_m
552	FidelCastro	3	AGE3	675	674_FidelCastro_3_m
111	WEBDuBois	4	AGE4	757	756_WEBDuBois_4_m
283	BettyGrable	4	AGE4	13912	13911_BettyGrable_4_f
391	AlKapone	5	AGE5	508	507_AlKapone_5_m
152	MaryPickford	5	AGE5	14388	14387_MaryPickford_5_f
217	MargaretOBrien	5	AGE5	12780	12779_MargaretOBrien_5_f
262	MarlonBrando	5	AGE5	9111	9110_MarlonBrando_5_m
287	JosephCotten	6	AGE6	7210	7209_JosephCotten_6_m
217	MargaretOBrien	6	AGE6	12781	12780_MargaretOBrien_6_f
449	ZsaZsaGabor	6	AGE6	11364	11363_ZsaZsaGabor_6_f
348	VivienLeigh	6	AGE6	14143	14142_VivienLeigh_6_f
324	JaneAsher	6	AGE6	9790	9789_JaneAsher_6_f
222	JhonLenon	6	AGE6	172	171_JhonLenon_6_m
7	DonnaDouglas	6	AGE6	10965	10964_DonnaDouglas_6_f
430	HelenHayes	6	AGE6	13519	13518_HelenHayes_6_f
527	JohnGarfield	7	AGE7	7159	7158_JohnGarfield_7_m
91	DickieMoore	7	AGE7	6189	6188_DickieMoore_7_m
322	AlbertCamus	7	AGE7	1313	1312_AlbertCamus_7_m
112	MickeyRooney	7	AGE7	7401	7400_MickeyRooney_7_m
324	JaneAsher	7	AGE7	9791	9790_JaneAsher_7_f
316	MegRyan	7	AGE7	9668	9667_MegRyan_7_f
295	JanetEllis	7	AGE7	15422	15421_JanetEllis_7_f
515	mahatmagandhi	7	AGE7	845	844_mahatmagandhi_7_m
217	MargaretOBrien	7	AGE7	12782	12781_MargaretOBrien_7_f
135	RichardPryor	7	AGE7	16213	16212_RichardPryor_7_m
163	CharlieSheen	7	AGE7	4015	4014_CharlieSheen_7_m
522	DannyGlover	8	AGE8	16108	16107_DannyGlover_8_m
324	JaneAsher	8	AGE8	9792	9791_JaneAsher_8_f
112	MickeyRooney	8	AGE8	7402	7401_MickeyRooney_8_m
397	GeraldineChaplin	8	AGE8	13008	13007_GeraldineChaplin_8_f
467	BertrandRussell	8	AGE8	1352	1351_BertrandRussell_8_m
91	DickieMoore	8	AGE8	6190	6189_DickieMoore_8_m
217	MargaretOBrien	8	AGE8	12783	12782_MargaretOBrien_8_f
301	JudyGarland	8	AGE8	14036	14035_JudyGarland_8_f
324	JaneAsher	9	AGE9	9793	9792_JaneAsher_9_f
113	GladysCooper	9	AGE9	13488	13487_GladysCooper_9_f
345	JuliaRoberts	9	AGE9	11452	11451_JuliaRoberts_9_f
91	DickieMoore	9	AGE9	6191	6190_DickieMoore_9_m
113	GladysCooper	9	AGE9	7097	7096_GladysCooper_9_m
7	DonnaDouglas	9	AGE9	10966	10965_DonnaDouglas_9_f
376	Fernandel	10	AGE10	4550	4549_Fernandel_10_m
395	michaeljackson	10	AGE10	261	260_michaeljackson_10_m
222	JhonLenon	10	AGE10	191	190_JhonLenon_10_m
272	ElvisPresley	10	AGE10	202	201_ElvisPresley_10_m
112	MickeyRooney	10	AGE10	7403	7402_MickeyRooney_10_m
457	JeffBridges	10	AGE10	3320	3319_JeffBridges_10_m
431	RobertRedford	10	AGE10	4844	4843_RobertRedford_10_m
24	HelenHunt	10	AGE10	10028	10027_HelenHunt_10_f
386	AlainDelon	10	AGE10	2386	2385_AlainDelon_10_m
143	BarbraStreisand	10	AGE10	12937	12936_BarbraStreisand_10_f
166	AnnJillian	10	AGE10	14974	14973_AnnJillian_10_f
312	JohnnyCash	10	AGE10	6473	6472_JohnnyCash_10_m
91	DickieMoore	10	AGE10	6192	6191_DickieMoore_10_m
467	BertrandRussell	11	AGE11	1351	1350_BertrandRussell_11_m
548	CatherineDeneuve	11	AGE11	12939	12938_CatherineDeneuve_11_f
166	AnnJillian	11	AGE11	14975	14974_AnnJillian_11_f
333	RobertPowell	11	AGE11	4402	4401_RobertPowell_11_m
165	AdolfHitlerr	11	AGE11	779	778_AdolfHitlerr_11_m
336	PatrickStewart	11	AGE11	5552	5551_PatrickStewart_11_m
143	BarbraStreisand	11	AGE11	12935	12934_BarbraStreisand_11_f
322	AlbertCamus	11	AGE11	1314	1313_AlbertCamus_11_m
