subject_id	subject_name	class_id	class_name	sample_id	sample_name
0	YvesMontand	54	AGE54	6896	6896_YvesMontand_54_m
0	YvesMontand	53	AGE53	6895	6895_YvesMontand_53_m
0	YvesMontand	36	AGE36	6881	6881_YvesMontand_36_m
0	YvesMontand	49	AGE49	6891	6891_YvesMontand_49_m
0	YvesMontand	51	AGE51	6893	6893_YvesMontand_51_m
0	YvesMontand	41	AGE41	6885	6885_YvesMontand_41_m
0	YvesMontand	25	AGE25	6874	6874_YvesMontand_25_m
0	YvesMontand	61	AGE61	6902	6902_YvesMontand_61_m
0	YvesMontand	39	AGE39	6884	6884_YvesMontand_39_m
0	YvesMontand	42	AGE42	6886	6886_YvesMontand_42_m
0	YvesMontand	52	AGE52	6894	6894_YvesMontand_52_m
0	YvesMontand	37	AGE37	6882	6882_YvesMontand_37_m
0	YvesMontand	60	AGE60	6901	6901_YvesMontand_60_m
0	YvesMontand	67	AGE67	6908	6908_YvesMontand_67_m
0	YvesMontand	70	AGE70	6910	6910_YvesMontand_70_m
0	YvesMontand	59	AGE59	6900	6900_YvesMontand_59_m
0	YvesMontand	36	AGE36	6880	6880_YvesMontand_36_m
0	YvesMontand	19	AGE19	6872	6872_YvesMontand_19_m
0	YvesMontand	30	AGE30	6876	6876_YvesMontand_30_m
0	YvesMontand	23	AGE23	6873	6873_YvesMontand_23_m
0	YvesMontand	29	AGE29	6875	6875_YvesMontand_29_m
0	YvesMontand	62	AGE62	6904	6904_YvesMontand_62_m
0	YvesMontand	32	AGE32	6877	6877_YvesMontand_32_m
0	YvesMontand	54	AGE54	6887	6887_YvesMontand_54_m
0	YvesMontand	62	AGE62	6903	6903_YvesMontand_62_m
0	YvesMontand	69	AGE69	6909	6909_YvesMontand_69_m
0	YvesMontand	64	AGE64	6905	6905_YvesMontand_64_m
0	YvesMontand	59	AGE59	6899	6899_YvesMontand_59_m
0	YvesMontand	65	AGE65	6907	6907_YvesMontand_65_m
0	YvesMontand	58	AGE58	6898	6898_YvesMontand_58_m
0	YvesMontand	50	AGE50	6892	6892_YvesMontand_50_m
0	YvesMontand	45	AGE45	6888	6888_YvesMontand_45_m
0	YvesMontand	34	AGE34	6879	6879_YvesMontand_34_m
0	YvesMontand	38	AGE38	6883	6883_YvesMontand_38_m
0	YvesMontand	64	AGE64	6906	6906_YvesMontand_64_m
0	YvesMontand	58	AGE58	6897	6897_YvesMontand_58_m
0	YvesMontand	33	AGE33	6878	6878_YvesMontand_33_m
0	YvesMontand	48	AGE48	6890	6890_YvesMontand_48_m
0	YvesMontand	47	AGE47	6889	6889_YvesMontand_47_m
1	HerbertLom	53	AGE53	5859	5859_HerbertLom_53_m
1	HerbertLom	93	AGE93	5881	5881_HerbertLom_93_m
1	HerbertLom	95	AGE95	5883	5883_HerbertLom_95_m
1	HerbertLom	61	AGE61	5864	5864_HerbertLom_61_m
1	HerbertLom	81	AGE81	5876	5876_HerbertLom_81_m
1	HerbertLom	58	AGE58	5863	5863_HerbertLom_58_m
1	HerbertLom	63	AGE63	5866	5866_HerbertLom_63_m
1	HerbertLom	83	AGE83	5877	5877_HerbertLom_83_m
1	HerbertLom	38	AGE38	5848	5848_HerbertLom_38_m
1	HerbertLom	68	AGE68	5871	5871_HerbertLom_68_m
1	HerbertLom	32	AGE32	5843	5843_HerbertLom_32_m
1	HerbertLom	87	AGE87	5879	5879_HerbertLom_87_m
1	HerbertLom	91	AGE91	5880	5880_HerbertLom_91_m
1	HerbertLom	44	AGE44	5853	5853_HerbertLom_44_m
1	HerbertLom	64	AGE64	5867	5867_HerbertLom_64_m
1	HerbertLom	67	AGE67	5870	5870_HerbertLom_67_m
1	HerbertLom	37	AGE37	5847	5847_HerbertLom_37_m
1	HerbertLom	54	AGE54	5860	5860_HerbertLom_54_m
1	HerbertLom	55	AGE55	5861	5861_HerbertLom_55_m
1	HerbertLom	57	AGE57	5862	5862_HerbertLom_57_m
1	HerbertLom	42	AGE42	5851	5851_HerbertLom_42_m
1	HerbertLom	76	AGE76	5874	5874_HerbertLom_76_m
1	HerbertLom	65	AGE65	5868	5868_HerbertLom_65_m
1	HerbertLom	36	AGE36	5846	5846_HerbertLom_36_m
1	HerbertLom	35	AGE35	5845	5845_HerbertLom_35_m
1	HerbertLom	33	AGE33	5844	5844_HerbertLom_33_m
1	HerbertLom	41	AGE41	5850	5850_HerbertLom_41_m
1	HerbertLom	43	AGE43	5852	5852_HerbertLom_43_m
1	HerbertLom	72	AGE72	5872	5872_HerbertLom_72_m
1	HerbertLom	29	AGE29	5842	5842_HerbertLom_29_m
1	HerbertLom	40	AGE40	5849	5849_HerbertLom_40_m
1	HerbertLom	66	AGE66	5869	5869_HerbertLom_66_m
1	HerbertLom	52	AGE52	5858	5858_HerbertLom_52_m
1	HerbertLom	78	AGE78	5875	5875_HerbertLom_78_m
1	HerbertLom	28	AGE28	5841	5841_HerbertLom_28_m
1	HerbertLom	23	AGE23	5839	5839_HerbertLom_23_m
1	HerbertLom	85	AGE85	5878	5878_HerbertLom_85_m
1	HerbertLom	62	AGE62	5865	5865_HerbertLom_62_m
1	HerbertLom	74	AGE74	5873	5873_HerbertLom_74_m
1	HerbertLom	49	AGE49	5856	5856_HerbertLom_49_m
1	HerbertLom	94	AGE94	5882	5882_HerbertLom_94_m
1	HerbertLom	51	AGE51	5857	5857_HerbertLom_51_m
1	HerbertLom	46	AGE46	5855	5855_HerbertLom_46_m
1	HerbertLom	45	AGE45	5854	5854_HerbertLom_45_m
1	HerbertLom	26	AGE26	5840	5840_HerbertLom_26_m
2	RoyRogers	34	AGE34	5697	5697_RoyRogers_34_m
2	RoyRogers	43	AGE43	5704	5704_RoyRogers_43_m
2	RoyRogers	49	AGE49	5710	5710_RoyRogers_49_m
2	RoyRogers	47	AGE47	5708	5708_RoyRogers_47_m
2	RoyRogers	35	AGE35	5698	5698_RoyRogers_35_m
2	RoyRogers	75	AGE75	5719	5719_RoyRogers_75_m
2	RoyRogers	24	AGE24	5689	5689_RoyRogers_24_m
2	RoyRogers	64	AGE64	5714	5714_RoyRogers_64_m
2	RoyRogers	72	AGE72	5718	5718_RoyRogers_72_m
2	RoyRogers	50	AGE50	5711	5711_RoyRogers_50_m
2	RoyRogers	30	AGE30	5694	5694_RoyRogers_30_m
2	RoyRogers	37	AGE37	5700	5700_RoyRogers_37_m
2	RoyRogers	78	AGE78	5721	5721_RoyRogers_78_m
2	RoyRogers	36	AGE36	5699	5699_RoyRogers_36_m
2	RoyRogers	39	AGE39	5702	5702_RoyRogers_39_m
2	RoyRogers	27	AGE27	5691	5691_RoyRogers_27_m
2	RoyRogers	67	AGE67	5716	5716_RoyRogers_67_m
2	RoyRogers	44	AGE44	5705	5705_RoyRogers_44_m
2	RoyRogers	40	AGE40	5703	5703_RoyRogers_40_m
2	RoyRogers	31	AGE31	5695	5695_RoyRogers_31_m
2	RoyRogers	76	AGE76	5720	5720_RoyRogers_76_m
2	RoyRogers	28	AGE28	5692	5692_RoyRogers_28_m
2	RoyRogers	57	AGE57	5713	5713_RoyRogers_57_m
2	RoyRogers	65	AGE65	5715	5715_RoyRogers_65_m
2	RoyRogers	87	AGE87	5724	5724_RoyRogers_87_m
2	RoyRogers	45	AGE45	5706	5706_RoyRogers_45_m
2	RoyRogers	48	AGE48	5709	5709_RoyRogers_48_m
2	RoyRogers	25	AGE25	5690	5690_RoyRogers_25_m
2	RoyRogers	29	AGE29	5693	5693_RoyRogers_29_m
2	RoyRogers	56	AGE56	5712	5712_RoyRogers_56_m
2	RoyRogers	83	AGE83	5723	5723_RoyRogers_83_m
2	RoyRogers	81	AGE81	5722	5722_RoyRogers_81_m
