subject_id	subject_name	class_id	class_name	sample_id	sample_name
37	JoanneWoodward	44	AGE44	12276	12275_JoanneWoodward_44_f
522	DannyGlover	44	AGE44	16086	16085_DannyGlover_44_m
107	DianneWiest	44	AGE44	10487	10486_DianneWiest_44_f
224	campbell	44	AGE44	16290	16289_campbell_44_f
353	ArmandAssante	44	AGE44	5120	5119_ArmandAssante_44_m
531	TimothyDalton	44	AGE44	4973	4972_TimothyDalton_44_m
323	JohnJames	44	AGE44	2039	2038_JohnJames_44_m
518	RomanPolanski	44	AGE44	4901	4900_RomanPolanski_44_m
38	BarbaraBouchet	44	AGE44	11863	11862_BarbaraBouchet_44_f
555	GeneWilder	44	AGE44	2585	2584_GeneWilder_44_m
4	CaryGrant	44	AGE44	6106	6105_CaryGrant_44_m
68	KevinCostner	44	AGE44	4274	4273_KevinCostner_44_m
120	TomJones	44	AGE44	9767	9766_TomJones_44_f
63	PeggyAshcroft	44	AGE44	14458	14457_PeggyAshcroft_44_f
322	AlbertCamus	44	AGE44	1319	1318_AlbertCamus_44_m
74	AnthonyQuayle	44	AGE44	7830	7829_AnthonyQuayle_44_m
385	UrsulaAndress	44	AGE44	12404	12403_UrsulaAndress_44_f
523	MartinSheen	44	AGE44	3531	3530_MartinSheen_44_m
449	ZsaZsaGabor	44	AGE44	11374	11373_ZsaZsaGabor_44_f
324	JaneAsher	44	AGE44	9811	9810_JaneAsher_44_f
461	TimCurry	44	AGE44	1737	1736_TimCurry_44_m
228	SophiaLoren	44	AGE44	11288	11287_SophiaLoren_44_f
521	StefaniePowers	44	AGE44	15845	15844_StefaniePowers_44_f
227	KennethBranagh	44	AGE44	5440	5439_KennethBranagh_44_m
227	KennethBranagh	44	AGE44	5439	5438_KennethBranagh_44_m
561	QueenElizabet	44	AGE44	589	588_QueenElizabet_44_f
24	HelenHunt	44	AGE44	10058	10057_HelenHunt_44_f
395	michaeljackson	44	AGE44	268	267_michaeljackson_44_m
224	campbell	44	AGE44	16289	16288_campbell_44_f
62	SteveMcQueen	44	AGE44	9402	9401_SteveMcQueen_44_m
64	MikeConnors	44	AGE44	3607	3606_MikeConnors_44_m
32	BonnieHunt	44	AGE44	15101	15100_BonnieHunt_44_f
105	KatharineRoss	44	AGE44	15646	15645_KatharineRoss_44_f
519	ChevyChase	44	AGE44	2435	2434_ChevyChase_44_m
551	JeanetteMacDonald	44	AGE44	15504	15503_JeanetteMacDonald_44_f
48	GenaRowlands	44	AGE44	4137	4136_GenaRowlands_44_m
137	SidneyPoitier	44	AGE44	16160	16159_SidneyPoitier_44_m
9	FessParker	44	AGE44	7073	7072_FessParker_44_m
384	JosephStalin	44	AGE44	809	808_JosephStalin_44_m
252	ErnestRutherford	44	AGE44	1200	1199_ErnestRutherford_44_m
551	JeanetteMacDonald	44	AGE44	15485	15484_JeanetteMacDonald_44_f
78	JamesBest	44	AGE44	1955	1954_JamesBest_44_m
197	LinoVentura	44	AGE44	7314	7313_LinoVentura_44_m
117	VeraEllen	44	AGE44	15918	15917_VeraEllen_44_f
408	MelBrooks	44	AGE44	2100	2099_MelBrooks_44_m
195	LorneGreene	44	AGE44	8143	8142_LorneGreene_44_m
213	RabindranathTagore	44	AGE44	1465	1464_RabindranathTagore_44_m
54	KevinSpacey	44	AGE44	3432	3431_KevinSpacey_44_m
39	TonyBlair	44	AGE44	660	659_TonyBlair_44_m
457	JeffBridges	44	AGE44	3336	3335_JeffBridges_44_m
211	AnjelicaHuston	44	AGE44	11821	11820_AnjelicaHuston_44_f
39	TonyBlair	44	AGE44	665	664_TonyBlair_44_m
471	ClaudetteColbert	44	AGE44	14684	14683_ClaudetteColbert_44_f
118	HelmutBerger	44	AGE44	4229	4228_HelmutBerger_44_m
350	VittorioGassman	44	AGE44	9249	9248_VittorioGassman_44_m
526	AngieDickinson	44	AGE44	12424	12423_AngieDickinson_44_f
251	St╨ТphaneAudran	44	AGE44	15873	15872_St╨ТphaneAudran_44_f
235	SilvanaMangano	44	AGE44	14813	14812_SilvanaMangano_44_f
562	RockHudson	44	AGE44	6761	6760_RockHudson_44_m
239	RoseMarie	44	AGE44	9898	9897_RoseMarie_44_f
34	MireilleDarc	44	AGE44	11674	11673_MireilleDarc_44_f
334	LauraAntonelli	44	AGE44	12293	12292_LauraAntonelli_44_f
358	NicolasSarkozy	44	AGE44	5534	5533_NicolasSarkozy_44_m
332	TomHanks	44	AGE44	1780	1779_TomHanks_44_m
538	BarbaraStanwyck	44	AGE44	14639	14638_BarbaraStanwyck_44_f
351	JonVoight	44	AGE44	2061	2060_JonVoight_44_m
46	JohnMalkovich	44	AGE44	5381	5380_JohnMalkovich_44_m
3	ArnoldSchwarzenegger	44	AGE44	8836	8835_ArnoldSchwarzenegger_44_m
265	BurtReynolds	44	AGE44	3988	3987_BurtReynolds_44_m
462	KateOMara	44	AGE44	15601	15600_KateOMara_44_f
452	GordonThomson	44	AGE44	4592	4591_GordonThomson_44_m
127	HumphreyBogard	44	AGE44	9021	9020_HumphreyBogard_44_m
455	AlanRickman	44	AGE44	3015	3014_AlanRickman_44_m
409	RexHarrison	44	AGE44	6732	6731_RexHarrison_44_m
65	JohnForsythe	44	AGE44	8071	8070_JohnForsythe_44_m
129	AlCorley	44	AGE44	1607	1606_AlCorley_44_m
120	TomJones	44	AGE44	1846	1845_TomJones_44_m
531	TimothyDalton	44	AGE44	4972	4971_TimothyDalton_44_m
119	AlanYoung	44	AGE44	1886	1885_AlanYoung_44_m
483	Bono	44	AGE44	1548	1547_Bono_44_m
1	HerbertLom	44	AGE44	5854	5853_HerbertLom_44_m
562	RockHudson	44	AGE44	6769	6768_RockHudson_44_m
389	JaneBirkin	44	AGE44	10089	10088_JaneBirkin_44_f
337	RichardCrenna	44	AGE44	8319	8318_RichardCrenna_44_m
127	HumphreyBogard	45	AGE45	9019	9018_HumphreyBogard_45_m
402	Davis	45	AGE45	16315	16314_Davis_45_f
366	MelFerrer	45	AGE45	6632	6631_MelFerrer_45_m
170	CharlesBoyer	45	AGE45	6963	6962_CharlesBoyer_45_m
496	GlendaJackson	45	AGE45	12175	12174_GlendaJackson_45_f
459	WilliamShatner	45	AGE45	6072	6071_WilliamShatner_45_m
114	akistsoxatzopoulos	45	AGE45	806	805_akistsoxatzopoulos_45_m
424	GraceKelly	45	AGE45	13060	13059_GraceKelly_45_f
294	JamieLeeCurtis	45	AGE45	12687	12686_JamieLeeCurtis_45_f
562	RockHudson	45	AGE45	6775	6774_RockHudson_45_m
424	GraceKelly	45	AGE45	13072	13071_GraceKelly_45_f
289	JohnWayne	45	AGE45	7187	7186_JohnWayne_45_m
76	HarveyKeitel	45	AGE45	4191	4190_HarveyKeitel_45_m
511	JackNicolson	45	AGE45	5269	5268_JackNicolson_45_m
4	CaryGrant	45	AGE45	6107	6106_CaryGrant_45_m
369	BorisKarloff	45	AGE45	6931	6930_BorisKarloff_45_m
472	StephenHawking	45	AGE45	1024	1023_StephenHawking_45_m
176	RodTaylor	45	AGE45	2273	2272_RodTaylor_45_m
522	DannyGlover	45	AGE45	16087	16086_DannyGlover_45_m
213	RabindranathTagore	45	AGE45	1472	1471_RabindranathTagore_45_m
169	Turner	45	AGE45	16424	16423_Turner_45_f
466	CharlesBronson	45	AGE45	8520	8519_CharlesBronson_45_m
1	HerbertLom	45	AGE45	5855	5854_HerbertLom_45_m
238	RobertMitchum	45	AGE45	9209	9208_RobertMitchum_45_m
378	ImeldaStaunton	45	AGE45	12205	12204_ImeldaStaunton_45_f
107	DianneWiest	45	AGE45	10488	10487_DianneWiest_45_f
289	JohnWayne	45	AGE45	7190	7189_JohnWayne_45_m
175	FrancesDee	45	AGE45	12610	12609_FrancesDee_45_f
215	JulieHagerty	45	AGE45	15565	15564_JulieHagerty_45_f
66	BruceWillis	45	AGE45	3086	3085_BruceWillis_45_m
125	AlexandrakisAlekos	45	AGE45	9642	9641_AlexandrakisAlekos_45_m
350	VittorioGassman	45	AGE45	9250	9249_VittorioGassman_45_m
175	FrancesDee	45	AGE45	5832	5831_FrancesDee_45_m
290	CHARLIERUGGLES	45	AGE45	9505	9504_CHARLIERUGGLES_45_m
173	GreerGarson	45	AGE45	14031	14030_GreerGarson_45_f
21	JamesStewart	45	AGE45	8648	8647_JamesStewart_45_m
261	KlausKinski	45	AGE45	6535	6534_KlausKinski_45_m
529	RichardBurton	45	AGE45	9196	9195_RichardBurton_45_m
173	GreerGarson	45	AGE45	14016	14015_GreerGarson_45_f
561	QueenElizabet	45	AGE45	603	602_QueenElizabet_45_f
72	HenryFonda	45	AGE45	8021	8020_HenryFonda_45_m
292	KathrynHays	45	AGE45	10572	10571_KathrynHays_45_f
90	MichelPiccoli	45	AGE45	4751	4750_MichelPiccoli_45_m
145	DonJohnson	45	AGE45	2519	2518_DonJohnson_45_m
48	GenaRowlands	45	AGE45	4138	4137_GenaRowlands_45_m
519	ChevyChase	45	AGE45	2451	2450_ChevyChase_45_m
325	tomselleck	45	AGE45	2966	2965_tomselleck_45_m
403	RogerAllam	45	AGE45	3732	3731_RogerAllam_45_m
