subject_id	subject_name	class_id	class_name	sample_id	sample_name
283	BettyGrable	22	AGE22	13921	13920_BettyGrable_22_f
283	BettyGrable	26	AGE26	13924	13923_BettyGrable_26_f
283	BettyGrable	21	AGE21	13920	13919_BettyGrable_21_f
283	BettyGrable	14	AGE14	13914	13913_BettyGrable_14_f
283	BettyGrable	37	AGE37	13935	13934_BettyGrable_37_f
283	BettyGrable	35	AGE35	13932	13931_BettyGrable_35_f
283	BettyGrable	31	AGE31	13928	13927_BettyGrable_31_f
283	BettyGrable	23	AGE23	13922	13921_BettyGrable_23_f
283	BettyGrable	37	AGE37	13934	13933_BettyGrable_37_f
283	BettyGrable	4	AGE4	13912	13911_BettyGrable_4_f
283	BettyGrable	25	AGE25	13923	13922_BettyGrable_25_f
283	BettyGrable	51	AGE51	13940	13939_BettyGrable_51_f
283	BettyGrable	55	AGE55	13942	13941_BettyGrable_55_f
283	BettyGrable	33	AGE33	13930	13929_BettyGrable_33_f
283	BettyGrable	36	AGE36	13933	13932_BettyGrable_36_f
283	BettyGrable	32	AGE32	13929	13928_BettyGrable_32_f
283	BettyGrable	42	AGE42	13937	13936_BettyGrable_42_f
283	BettyGrable	34	AGE34	13931	13930_BettyGrable_34_f
283	BettyGrable	20	AGE20	13918	13917_BettyGrable_20_f
283	BettyGrable	47	AGE47	13939	13938_BettyGrable_47_f
283	BettyGrable	13	AGE13	13913	13912_BettyGrable_13_f
283	BettyGrable	21	AGE21	13919	13918_BettyGrable_21_f
283	BettyGrable	17	AGE17	13915	13914_BettyGrable_17_f
283	BettyGrable	30	AGE30	13927	13926_BettyGrable_30_f
283	BettyGrable	18	AGE18	13916	13915_BettyGrable_18_f
283	BettyGrable	29	AGE29	13925	13924_BettyGrable_29_f
283	BettyGrable	45	AGE45	13938	13937_BettyGrable_45_f
283	BettyGrable	53	AGE53	13941	13940_BettyGrable_53_f
283	BettyGrable	29	AGE29	13926	13925_BettyGrable_29_f
283	BettyGrable	19	AGE19	13917	13916_BettyGrable_19_f
283	BettyGrable	41	AGE41	13936	13935_BettyGrable_41_f
284	RobertMorley	65	AGE65	7543	7542_RobertMorley_65_m
