subject_id	subject_name	class_id	class_name	sample_id	sample_name
0	M2Ohb0FAaJU	0	neutral	0	M2Ohb0FAaJU_1
2	dvbePi1o_Q0	0	neutral	1	dvbePi1o_Q0_1
3	ekdWbe1s_d4	0	neutral	2	ekdWbe1s_d4_0
3	ekdWbe1s_d4	0	neutral	3	ekdWbe1s_d4_1
4	HV150LwK8Kc	0	neutral	4	HV150LwK8Kc_8
5	vtznSlhouZc	0	neutral	5	vtznSlhouZc_0
6	WYIsBYSO0gc	1	happy	6	WYIsBYSO0gc_11
7	I2hf-H8Xumk	0	neutral	7	I2hf-H8Xumk_3
6	WYIsBYSO0gc	1	happy	8	WYIsBYSO0gc_10
5	vtznSlhouZc	0	neutral	9	vtznSlhouZc_1
8	M52PPU55qRQ	0	neutral	10	M52PPU55qRQ_0
7	I2hf-H8Xumk	0	neutral	11	I2hf-H8Xumk_2
9	mrm31EMpIi8	1	happy	12	mrm31EMpIi8_12
10	1id56m17lko	0	neutral	13	1id56m17lko_0
9	mrm31EMpIi8	0	neutral	14	mrm31EMpIi8_13
11	BQU7_l5pjAk	1	happy	15	BQU7_l5pjAk_4
12	SN8buDY-7LM	0	neutral	16	SN8buDY-7LM_0
13	mq5I7jFZ3Sk	0	neutral	17	mq5I7jFZ3Sk_2
14	IpoReT0HjsQ	0	neutral	18	IpoReT0HjsQ_3
11	BQU7_l5pjAk	1	happy	19	BQU7_l5pjAk_5
12	SN8buDY-7LM	0	neutral	20	SN8buDY-7LM_1
15	DIdGRrayLCM	0	neutral	21	DIdGRrayLCM_8
16	92s-RpM7Tks	0	neutral	22	92s-RpM7Tks_6
17	K2qNJ7IzzqE	0	neutral	23	K2qNJ7IzzqE_0
18	0H8HRSl_90Y	0	neutral	24	0H8HRSl_90Y_1
19	iSdJMGSbyJc	0	neutral	25	iSdJMGSbyJc_2
20	0s1UUn9aSSw	0	neutral	26	0s1UUn9aSSw_0
21	tCkXVK58bIg	1	happy	27	tCkXVK58bIg_1
18	0H8HRSl_90Y	0	neutral	28	0H8HRSl_90Y_0
21	tCkXVK58bIg	1	happy	29	tCkXVK58bIg_0
22	O_E3v2IuYM0	0	neutral	30	O_E3v2IuYM0_9
23	oH3u2QHoR2A	0	neutral	31	oH3u2QHoR2A_2
24	W2p3HK_KxKs	0	neutral	32	W2p3HK_KxKs_3
