subject_id	subject_name	class_id	class_name	sample_id	sample_name
11529	ApPNEQQB-e0_28	1	happy	29184	ApPNEQQB-e0_28_1
11566	k8Jsu7wSyHY_18	0	neutral	29221	k8Jsu7wSyHY_18_0
7845	cZah-VLP_aA	0	neutral	19693	cZah-VLP_aA_9
2716	HSjPTdKWcLA	0	neutral	4341	HSjPTdKWcLA_0
2266	PB040Bu_hOw	1	happy	10812	PB040Bu_hOw_0
3914	sT7Xef0oYLU	4	anger	6562	sT7Xef0oYLU_2
8387	lSCTGJbObOg	1	happy	22496	lSCTGJbObOg_8
4475	O7jHiw8IyxQ	2	fear	7680	O7jHiw8IyxQ_1
15422	Ob3eCQZeRmA_15	0	neutral	33135	Ob3eCQZeRmA_15_1
1410	qLq6GizMPu4	0	neutral	13471	qLq6GizMPu4_1
9150	yLElO7gxXPo	0	neutral	26272	yLElO7gxXPo_18
3844	ryyEEyKD9EU	0	neutral	15482	ryyEEyKD9EU_1
1142	LWd4-IntSrA	1	happy	11187	LWd4-IntSrA_1
8836	tAXhgTLGZqg	0	neutral	24696	tAXhgTLGZqg_13
13037	j2mxYJdMnRc_25	0	neutral	30717	j2mxYJdMnRc_25_0
3756	UFuxiZFwDPs	5	sadness	6253	UFuxiZFwDPs_2
8390	LT9vKS-myFY	1	happy	22502	LT9vKS-myFY_11
9610	tUGvzGJKoag_53	0	neutral	27234	tUGvzGJKoag_53_0
3713	NWjkTFqUNpk	4	anger	6138	NWjkTFqUNpk_0
623	wyifbBO6sAY	0	neutral	12463	wyifbBO6sAY_2
552	g4FOpeshqA8	0	neutral	12507	g4FOpeshqA8_3
3866	1iUAvZgbl1o	0	neutral	6455	1iUAvZgbl1o_0
4770	VRuV5oMqkDg	0	neutral	8296	VRuV5oMqkDg_0
13515	nAvqVyN6kf0_1	0	neutral	31198	nAvqVyN6kf0_1_0
4417	Dh6M4SEdLdU	0	neutral	7569	Dh6M4SEdLdU_1
7407	1vB_yscyAL0	0	neutral	17707	1vB_yscyAL0_11
13097	_flYlbBpSok_8	0	neutral	30777	_flYlbBpSok_8_0
10965	1bRtGWZec68_12	0	neutral	28608	1bRtGWZec68_12_0
14594	qIj9hAWR2hY_0	0	neutral	32289	qIj9hAWR2hY_0_0
10846	DApd8SewwKA_9	1	happy	28488	DApd8SewwKA_9_0
2287	KK0ALUd944A	1	happy	3705	KK0ALUd944A_1
6000	Kcmz-QxexRo	4	anger	12181	Kcmz-QxexRo_0
5578	rZsQJGk__DQ	5	sadness	10544	rZsQJGk__DQ_1
8698	qw62N4v8Cwo	0	neutral	24046	qw62N4v8Cwo_16
1364	BKR1-S8aRaQ	0	neutral	2344	BKR1-S8aRaQ_0
8387	lSCTGJbObOg	0	neutral	22494	lSCTGJbObOg_5
1833	Ia7el1fEff8	0	neutral	3053	Ia7el1fEff8_0
1182	I2terj2CfQ0	0	neutral	8337	I2terj2CfQ0_0
675	RW0a7Xn8hf8	5	sadness	7395	RW0a7Xn8hf8_6
8029	Fn40RI8ving	0	neutral	20554	Fn40RI8ving_2
4361	_IT9jmLChDA	3	surprise	14470	_IT9jmLChDA_2
7828	CTDsj3Z9yK4	4	anger	19589	CTDsj3Z9yK4_5
5118	gDPJG9FP3iM	5	sadness	8999	gDPJG9FP3iM_1
1813	kmr68ZevIrM	1	happy	3035	kmr68ZevIrM_1
2625	iqxao_orua8	4	anger	16685	iqxao_orua8_8
14001	cJpWnBnOi-g_0	0	neutral	31691	cJpWnBnOi-g_0_0
7978	ezja7-YQ72g	0	neutral	20364	ezja7-YQ72g_13
